Validador do Convênio ICMS 115/2003, versão : 3.00d
Versão do layout: v_03
Data da Validação: 09/02/2019 12:13:06

Nome do arquivo Mestre: RN04601397003909211  1809N01M.001

Arquivo Mestre: 103.107 linhas, 44.026.689 bytes.
Arquivo Destinatário: 103.107 linhas, 29.797.923 bytes.
Arquivo Item: 125.879 linhas, 41.917.707 bytes.

registro; tipo de ocorrencia; arquivo; codigo do erro; valor lido; documento fiscal
7021;A;D;306;[00000];000064524
7023;A;D;306;[00000];000064526
7071;A;D;306;[00000];000064574
7091;A;D;306;[00000];000064594
7180;A;D;306;[00000];000064683
7181;A;D;306;[00000];000064684
7217;A;D;306;[00000];000064720
7317;A;D;306;[00000];000064820
7344;A;D;306;[00000];000064847
7352;A;D;306;[00000];000064855
7362;A;D;306;[00000];000064865
7372;A;D;306;[00000];000064875
7405;A;D;306;[00000];000064908
7471;A;D;306;[00000];000064974
7491;A;D;306;[00000];000064994
7524;A;D;306;[00000];000065027
7529;A;D;306;[00000];000065032
7549;A;D;306;[00000];000065052
7596;A;D;306;[00000];000065099
7602;A;D;306;[00000];000065105
7668;A;D;306;[00000];000065171
7671;A;D;306;[00000];000065174
7703;A;D;306;[00000];000065206
7727;A;D;306;[00000];000065230
7754;A;D;306;[00000];000065257
7839;A;D;306;[00000];000065342
7904;A;D;306;[00000];000065407
8085;A;D;306;[00000];000065588
8122;A;D;306;[00000];000065625
8301;A;D;306;[00000];000065804
8302;A;D;306;[00000];000065805
8343;A;D;306;[00000];000065846
8348;A;D;306;[00000];000065851
8456;A;D;306;[00000];000065959
8522;A;D;306;[00000];000066025
8545;A;D;306;[00000];000066048
8598;A;D;306;[00000];000066101
8778;A;D;306;[00000];000066281
8783;A;D;306;[00000];000066286
8956;A;D;306;[00000];000066459
9130;A;D;306;[00000];000066633
9237;A;D;306;[00000];000066740
9279;A;D;306;[00000];000066782
9347;A;D;306;[00000];000066850
9428;A;D;306;[00000];000066931
9492;A;D;306;[00000];000066995
9616;E;M;114;[20180931];000067119
9617;E;M;114;[20180931];000067120
9622;A;D;306;[00000];000067125
9628;A;D;306;[00000];000067131
9632;A;D;306;[00000];000067135
9673;A;D;306;[00000];000067176
9693;A;D;306;[00000];000067196
9744;A;D;306;[00000];000067247
9788;A;D;306;[00000];000067291
9876;A;D;306;[00000];000067379
9894;A;D;306;[00000];000067397
10093;A;D;306;[00000];000067596
10159;A;D;306;[00000];000067662
10162;A;D;306;[00000];000067665
10187;A;D;306;[00000];000067690
10189;A;D;306;[00000];000067692
10204;A;D;306;[00000];000067707
10221;A;D;306;[00000];000067724
10255;A;D;306;[00000];000067758
10266;A;D;306;[00000];000067769
10332;A;D;306;[00000];000067835
10437;A;D;306;[00000];000067940
10449;A;D;306;[00000];000067952
10454;A;D;306;[00000];000067957
10736;A;D;306;[00000];000068239
10765;A;D;306;[00000];000068268
10791;A;D;306;[00000];000068294
10795;A;D;306;[00000];000068298
10839;A;D;306;[00000];000068342
10859;A;D;306;[00000];000068362
10916;A;D;306;[00000];000068419
10923;A;D;306;[00000];000068426
10941;A;D;306;[00000];000068444
11027;A;D;306;[00000];000068530
11047;A;D;306;[00000];000068550
11111;A;D;306;[00000];000068614
11126;A;D;306;[00000];000068629
11154;A;D;306;[00000];000068657
11157;A;D;306;[00000];000068660
11233;A;D;306;[00000];000068736
11255;A;D;306;[00000];000068758
11288;A;D;306;[00000];000068791
11355;A;D;306;[00000];000068858
11359;A;D;306;[00000];000068862
11363;A;D;306;[00000];000068866
11369;A;D;306;[00000];000068872
11424;A;D;306;[00000];000068927
11473;A;D;306;[00000];000068976
11571;A;D;306;[00000];000069074
11699;A;D;306;[00000];000069202
11773;A;D;306;[00000];000069276
11791;A;D;306;[00000];000069294
11805;A;D;306;[00000];000069308
11938;A;D;306;[00000];000069441
12028;A;D;306;[00000];000069531
12029;A;D;306;[00000];000069532
12041;A;D;306;[00000];000069544
12102;A;D;306;[00000];000069605
12107;A;D;306;[00000];000069610
12110;A;D;306;[00000];000069613
12184;A;D;306;[00000];000069687
12239;A;D;306;[00000];000069742
12280;A;D;306;[00000];000069783
12281;A;D;306;[00000];000069784
12303;A;D;306;[00000];000069806
12342;A;D;306;[00000];000069845
12450;A;D;306;[00000];000069953
12474;A;D;306;[00000];000069977
12644;A;D;306;[00000];000070147
12737;A;D;306;[00000];000070240
12755;A;D;306;[00000];000070258
12859;A;D;306;[00000];000070362
12876;A;D;306;[00000];000070379
12884;A;D;306;[00000];000070387
12970;A;D;306;[00000];000070473
13014;A;D;306;[00000];000070517
13032;A;D;306;[00000];000070535
13164;A;D;306;[00000];000070667
13241;A;D;306;[00000];000070744
13252;A;D;306;[00000];000070755
13279;A;D;306;[00000];000070782
13287;A;D;306;[00000];000070790
13330;A;D;306;[00000];000070833
13396;A;D;306;[00000];000070899
13404;A;D;306;[00000];000070907
13418;A;D;306;[00000];000070921
13447;A;D;306;[00000];000070950
13466;A;D;306;[00000];000070969
13524;A;D;306;[00000];000071027
13549;A;D;306;[00000];000071052
13637;A;D;306;[00000];000071140
13641;A;D;306;[00000];000071144
13673;A;D;306;[00000];000071176
13704;A;D;306;[00000];000071207
13729;A;D;306;[00000];000071232
13827;A;D;306;[00000];000071330
13853;A;D;306;[00000];000071356
13893;A;D;306;[00000];000071396
13921;A;D;306;[00000];000071424
14019;A;D;306;[00000];000071522
14044;A;D;306;[00000];000071547
14064;A;D;306;[00000];000071567
14127;A;D;306;[00000];000071630
14144;A;D;306;[00000];000071647
14211;A;D;306;[00000];000071714
14249;A;D;306;[00000];000071752
14292;A;D;306;[00000];000071795
14349;A;D;306;[00000];000071852
14370;A;D;306;[00000];000071873
14375;A;D;306;[00000];000071878
14378;A;D;306;[00000];000071881
14432;A;D;306;[00000];000071935
14438;A;D;306;[00000];000071941
14566;A;D;306;[00000];000072069
14588;A;D;306;[00000];000072091
14609;A;D;306;[00000];000072112
14658;A;D;306;[00000];000072161
14690;A;D;306;[00000];000072193
14696;A;D;306;[00000];000072199
14846;A;D;306;[00000];000072349
14874;A;D;306;[00000];000072377
14914;A;D;306;[00000];000072417
14955;A;D;306;[00000];000072458
15053;A;D;306;[00000];000072556
15082;A;D;306;[00000];000072585
15084;A;D;306;[00000];000072587
15090;A;D;306;[00000];000072593
15313;A;D;306;[00000];000072816
15384;A;D;306;[00000];000072887
15450;A;D;306;[00000];000072953
15489;A;D;306;[00000];000072992
15596;A;D;306;[00000];000073099
15690;A;D;306;[00000];000073193
15738;A;D;306;[00000];000073241
15743;A;D;306;[00000];000073246
15765;A;D;306;[00000];000073268
15789;A;D;306;[00000];000073292
15790;A;D;306;[00000];000073293
15792;A;D;306;[00000];000073295
15848;A;D;306;[00000];000073351
15852;A;D;306;[00000];000073355
15881;A;D;306;[00000];000073384
15958;A;D;306;[00000];000073461
15979;A;D;306;[00000];000073482
16035;A;D;306;[00000];000073538
16037;A;D;306;[00000];000073540
16041;A;D;306;[00000];000073544
16060;A;D;306;[00000];000073563
16078;A;D;306;[00000];000073581
16119;A;D;306;[00000];000073622
16148;A;D;306;[00000];000073651
16155;A;D;306;[00000];000073658
16313;A;D;306;[00000];000073816
16357;A;D;306;[00000];000073860
16368;A;D;306;[00000];000073871
16433;A;D;306;[00000];000073936
16455;A;D;306;[00000];000073958
16461;A;D;306;[00000];000073964
16486;A;D;306;[00000];000073989
16531;A;D;306;[00000];000074034
16540;A;D;306;[00000];000074043
16624;A;D;306;[00000];000074127
16653;A;D;306;[00000];000074156
16671;A;D;306;[00000];000074174
16696;A;D;306;[00000];000074199
16755;A;D;306;[00000];000074258
16798;A;D;306;[00000];000074301
16808;A;D;306;[00000];000074311
16820;A;D;306;[00000];000074323
16848;A;D;306;[00000];000074351
16862;A;D;306;[00000];000074365
16970;A;D;306;[00000];000074473
16984;A;D;306;[00000];000074487
16986;A;D;306;[00000];000074489
16990;A;D;306;[00000];000074493
16991;A;D;306;[00000];000074494
16999;A;D;306;[00000];000074502
17002;A;D;306;[00000];000074505
17073;A;D;306;[00000];000074576
17189;A;D;306;[00000];000074692
17216;E;M;114;[20180931];000074719
17217;E;M;114;[20180931];000074720
17273;A;D;306;[00000];000074776
17290;A;D;306;[00000];000074793
17296;A;D;306;[00000];000074799
17329;A;D;306;[00000];000074832
17339;A;D;306;[00000];000074842
17360;A;D;306;[00000];000074863
17401;A;D;306;[00000];000074904
17403;A;D;306;[00000];000074906
17430;A;D;306;[00000];000074933
17477;A;D;306;[00000];000074980
17500;A;D;306;[00000];000075003
17555;A;D;306;[00000];000075058
17581;A;D;306;[00000];000075084
17591;A;D;306;[00000];000075094
17595;A;D;306;[00000];000075098
17603;A;D;306;[00000];000075106
17614;A;D;306;[00000];000075117
17644;A;D;306;[00000];000075147
17671;A;D;306;[00000];000075174
17738;A;D;306;[00000];000075241
17761;A;D;306;[00000];000075264
17794;A;D;306;[00000];000075297
17896;A;D;306;[00000];000075399
17941;A;D;306;[00000];000075444
18017;A;D;306;[00000];000075520
18049;A;D;306;[00000];000075552
18146;A;D;306;[00000];000075649
18271;A;D;306;[00000];000075774
18294;A;D;306;[00000];000075797
18400;A;D;306;[00000];000075903
18411;A;D;306;[00000];000075914
18431;A;D;306;[00000];000075934
18599;A;D;306;[00000];000076102
18602;A;D;306;[00000];000076105
18809;A;D;306;[00000];000076312
18854;A;D;306;[00000];000076357
19041;A;D;306;[00000];000076544
19182;A;D;306;[00000];000076685
19215;A;D;306;[00000];000076718
19346;A;D;306;[00000];000076849
19388;A;D;306;[00000];000076891
19497;A;D;306;[00000];000077000
